BLZ;Institutsname;BIC
50030010;Banque PSA Finance;BPNDDE52XXX
50030100;HKB Bank Frankfurt am Main;HKBBDEF1FRA
50030500;BNP PARIBAS Sec Serv;PARBDEFFXXX
50030600;dwpbank;DWPBDEFFXXX
50030700;DenizBank Frankfurt;ESBKDEFFXXX
50030900;Lehman Brothers Frankfurt;
50031000;Triodos Bank Deutschland;TRODDEF1XXX
50033300;Santander Bank Frankfurt;SCFBDE33XXX
50038800;Agricultural Bank China FRA;ABOCDEFFXXX
50040000;Commerzbank Frankfurt Main;COBADEFFXXX
50040033;Commerzbank Gf BRS Ffm;COBADEF1BRS
50040038;Commerzbank MBP, Frankfurt;COBADEFFXXX
50040040;Commerzbank ZRK Frankfurt;COBADEFFXXX
50040048;Commerzbank FFM GF-F48;COBADEFFXXX
50040050;Commerzbank CC SP, Ffm;COBADEFFXXX
50040051;Commerzbank FFM GM-F A 51;COBADEFFXXX
50040052;Commerzbank Service - BZ;COBADEFFXXX
50040060;Commerzbank Gf 460 Ffm;COBADEFFXXX
50040061;Commerzbank Gf 461 Ffm;COBADEFFXXX
50040062;Commerzbank CC Ffm;COBADEFFXXX
50040063;Commerzbank CC Ffm;COBADEFFXXX
50040075;Commerzbank Gf ZCM Ffm;COBADEFFXXX
50040084;Commerzbank GF WK CMTS2 FFM;COBADEFFXXX
50040085;Commerzbank Gf WK, Ffm;COBADEFFXXX
50040086;Commerzbank GF WK CMTS, FFM;COBADEFFXXX
50040087;Commerzbank Gf WK CMTS3 Ffm;COBADEFFXXX
50040088;Commerzbank INT 1 Ffm;COBADEFFXXX
50040099;Commerzbank INT Ffm;COBADEFFXXX
50042500;Commerzbank Frankfurt;COBADEFFXXX
50044444;Commerzbank Vermverw Ffm;COBADEFFXXX
50047010;Commerzbank Service - BZ;COBADEFFXXX
50050000;Ld Bk Hess-Thür Gz Ffm;HELADEFFXXX
50050201;Frankfurter Spk Frankfurt;HELADEF1822
50050222;Frankfurter Spk 1822direkt;HELADEF1822
50050999;DekaBank Frankfurt;DGZFDEFFXXX
50060000;DZ Bank;GENODE55XXX
50060400;DZ BANK;GENODEFFXXX
50060411;First Cash DZ BANK Ffm;GENODEF1FCS
50060412;DZ BANK Gf vK;GENODEF1VK1
50060413;DZ BANK Gf VK 2;GENODEF1VK2
50060414;DZ BANK Gf VK 3;GENODEF1VK3
50060474;DZ BANK;GENODEFFBRO
50060500;EKK Frankfurt -alt-;GENODEF1EK4
50061741;Raiffeisenbank Oberursel;GENODE51OBU
50069126;Raiffeisenbank Alzey-Land;GENODE51ABO
50069146;Volksbank Grebenhain;GENODE51GRC
50069187;Volksbank Egelsbach -alt-;GENODE51EGE
50069241;Raiffeisenkasse;GENODE51ERB
50069345;Raiffbk Grävenwiesbach;GENODE51GWB
50069455;Hüttenberger Bk Hüttenberg;GENODE51HUT
50069477;Raiffeisenbank Kirtorf;GENODE51KIF
50069693;Raiffeisenbank Bad Homburg;GENODE51BH1
50069842;Raiffeisen-VB Schwabenheim;GENODE51SWB
50069976;Volksbank Wißmar;GENODE51WWI
50070010;Deutsche Bank Frankfurt F;DEUTDEFFXXX
50070024;Deutsche Bank PGK Frankfurt;DEUTDEDBFRA
50073019;Deutsche Bank Rüsselsheim;DEUTDEFF502
50073024;Deutsche Bank PGK Rüsselshe;DEUTDEDB502
50073081;Deutsche Bank Europe;DEUTDE5XXXX
50080000;Commerzbank Frankfurt;DRESDEFFXXX
50080015;Commerzbank Zw 15 Ffm;DRESDEFFI39
50080025;Commerzbank Zw 25 Ffm;DRESDEFFXXX
50080035;Commerzbank Zw 35 Ffm;DRESDEFFI40
50080055;Commerzbk Zw 55 Frankfurt;DRESDEFF516
50080057;Commerzbk ZW 57 Frankfurt;DRESDEFF522
50080060;Commerzbank Gf DrKW Ffm;DRESDEFFXXX
50080061;Commerzbank Gf DrKWSL Ffm;DRESDEFFLDG
50080077;Commerzbk WBSPK, Frankfurt;DRESDEFFBSP
50080079;Commerzbank ESOP, Frankfurt;DRESDEFFXXX
50080080;Commerzbank Bs 80 Ffm;DRESDEFFI41
50080082;Commerzbk Gf AVB Ffm;DRESDEFFAVB
50080086;Commerzbk ITGK Frankfurt;DRESDEFFI49
50080087;Commerzbank ITGK4 FFM;DRESDEFFJ08
50080088;Commerzbank ITGK5 FFM;DRESDEFFJ09
50080089;Commerzbank ITGK6 FFM;DRESDEFFJ10
50080091;Commerzbank ITGK7 FFM;DRESDEFFJ11
50080092;Commerzbk FCO Frankfurt;DRESDEFFFCO
50080099;Commerzbk Zw 99 Frankfurt;DRESDEFFI42
50080300;Commerzbank Priv Banking;DRESDEFF500
50083007;Commerzbank Rüsselsheim;DRESDEFF502
50083838;Commerzbank Ffm MBP;DRESDEFFMBP
50089400;Commerzbank Ffm ITGK;DRESDEFFI01
50090200;VR DISKONTBANK;VRDIDEFFXXX
50090500;Sparda-Bank Hessen;GENODEF1S12
50090607;apoBank Frankfurt Main;DAAEDED1007
50090900;PSD Bank Hessen-Thüringen;GENODEF1P06
50092100;Spar- u Kreditbk Bad Hombg;GENODE51BH2
50092200;Volksbank Main-Taunus -alt-;GENODE51KEL
50092900;Volksbank Usinger Land;GENODE51USI
50093000;Rüsselsheimer Volksbank;GENODE51RUS
50093010;VB Rüsselsheim GAA;GENODE51GAA
50093400;Volksbank Kelsterbach;GENODE51KBH
50110200;ICBC Frankfurt, Main;ICBKDEFFXXX
50110300;DVB Frankfurt Main;DVKBDEFFXXX
50110400;AKA Ausfuhrkredit Frankfurt;AUSKDEFFXXX
50110500;NATIXIS Frankfurt am Main;NATXDEFFXXX
50110636;DTC SCB Germany Branch;SCBLDEF1DTC
50110700;FBG (D);FBGADEF1XXX
50110800;J.P. Morgan Frankfurt;CHASDEFXXXX
50110801;J.P. Morgan, IR, Ffm;CHASDEFXVR1
50110855;J.P. Morgan Intl. Ffm.;JPMGDEFFXXX
50110900;Bank of America N.A. Mil Bk;MNBIDEF1XXX
50120000;MainFirst Bank Frankfurt;MAIFDEFFXXX
50120100;ICICI Bank Frankfurt;ICICDEFFXXX
50120383;Bethmann Bank Frankfurt;DELBDE33XXX
50120500;CSD Frankfurt Main;CRESDE55XXX
50120600;Bank of Communications;COMMDEFFXXX
50120900;VakifBank Frankfurt;TVBADEFFXXX
50123400;VTB Direktbank;DOBADEF1XXX
50130000;Naba Frankfurt Main;NBPADEFFXXX
50130100;BethmannMaffei Bank Ffm-alt;DELBDE33XXX
50130200;Oppenheim, Sal - jr & Cie;SOPPDEFFXXX
50130400;Merck Finck & Co Frankfurt;MEFIDEMM501
50130600;UBS Deutschland Frankfurt/M;UBSWDEFFXXX
50131000;Vietinbank;ICBVDEFFXXX
50190000;Frankfurter Volksbank;FFVBDEFFXXX
50190300;Volksbank Höchst;GENODE51FHC
50190400;Volksbank Griesheim Ffm;GENODE51FGH
50210111;SEB TZN Clearing Ffm;ESSEDE51SCH
50210112;SEB TZN MB Frankfurt;ESSEDE51TZN
50210130;SEB TZN MB;ESSEDE5FXXX
50210131;SEB TZN MB;ESSEDE5FXXX
50210132;SEB TZN MB;ESSEDE5FXXX
50210133;SEB TZN MB;ESSEDE5FXXX
50210134;SEB TZN MB;ESSEDE5FXXX
50210135;SEB TZN MB;ESSEDE5FXXX
50210136;SEB TZN MB;ESSEDE5FXXX
50210137;SEB TZN MB;ESSEDE5FXXX
50210138;SEB TZN MB;ESSEDE5FXXX
50210139;SEB TZN MB;ESSEDE5FXXX
50210140;SEB TZN MB;ESSEDE5FXXX
50210141;SEB TZN MB;ESSEDE5FXXX
50210142;SEB TZN MB;ESSEDE5FXXX
50210143;SEB TZN MB;ESSEDE5FXXX
50210144;SEB TZN MB;ESSEDE5FXXX
50210145;SEB TZN MB;ESSEDE5FXXX
50210146;SEB TZN MB;ESSEDE5FXXX
50210147;SEB TZN MB;ESSEDE5FXXX
50210148;SEB TZN MB;ESSEDE5FXXX
50210149;SEB TZN MB;ESSEDE5FXXX
50210150;SEB TZN MB;ESSEDE5FXXX
50210151;SEB TZN MB;ESSEDE5FXXX
50210152;SEB TZN MB;ESSEDE5FXXX
50210153;SEB TZN MB.;ESSEDE5FXXX
50210154;SEB TZN MB;ESSEDE5FXXX
50210155;SEB TZN MB;ESSEDE5FXXX
50210156;SEB TZN MB;ESSEDE5FXXX
50210157;SEB TZN MB;ESSEDE5FXXX
50210158;SEB TZN MB;ESSEDE5FXXX
50210159;SEB TZN MB;ESSEDE5FXXX
50210160;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210161;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210162;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210163;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210164;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210165;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210166;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210167;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210168;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210169;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210170;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210171;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210172;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210173;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210174;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210175;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210176;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210177;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210178;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210179;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210180;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210181;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210182;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210183;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210184;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210185;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210186;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210187;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210188;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210189;SEB TZN MB Frankfurt;ESSEDE5FXXX
50210200;Rabobank Frankfurt Main;RABODEFFTAR
50210212;RaboDirect Frankfurt Main;RABODEFFDIR
50210295;Rabobank International CMS;RABODEFFXXX
50210300;Hypothekenbank Frankfurt;EHYPDEFFXXX
50210600;equinet Bank, Frankfurt;EQUNDEFFXXX
50210800;ProCredit Bank, Frankfurt;PRCBDEFFXXX
50210900;Citigroup GM Frankfurt;CITIDEFFXXX
50220085;UBS Deutschland Frankfurt/M;SMHBDEFFXXX
50220200;Bethmann Bank (LGT Ffm);DELBDE33XXX
50220500;Bank of Scotland;BOFSDEF1XXX
50220900;Hauck & Aufhäuser;HAUKDEFFXXX
50230000;ABC International Bank Ffm;ABCADEFFXXX
50230100;Morgan Stanley Bank Int;MSPCDEF1XXX
50230300;FCB Firmen-Credit Bank Ffm;FCFBDEFFXXX
50230400;RBS NDL Frankfurt;ABNADEFFFRA
50230600;Isbank Frankfurt Main;ISBKDEFXXXX
50230700;Bankhaus Metzler Frankfurt;METZDEFFXXX
50230800;Ikano Bank;PLFGDE5AXXX
50230888;Ikano Bank;PLFGDE5AIKB
50250200;DL Finance Bad Homburg;DLFGDE51XXX
50310400;Barclays Bank Frankfurt;BARCDEFFXXX
50310455;Reiseschecks - Barclays Ffm;BARCDEF1TCS
50310900;CCB Frankfurt;PCBCDEFFXXX
50320000;VTB Bank Deutschland Ffm;OWHBDEFFXXX
50320191;UniCredit Bank-HypoVereinbk;HYVEDEMM430
50320500;Banco Santander Ffm;BSCHDEFFXXX
50320600;Attijariwafa bank Frankfurt;BCMADEFFXXX
50320900;Pictet & Cie Europe Ffm;PICTDEFFXXX
50324000;ABN AMRO Bank;FTSBDEFAXXX
50324040;ABN AMRO Bank MoneYou, Ffm;FTSBDEFAMYO
50330000;State Bk of India Frankfurt;SBINDEFFXXX
50330200;MHB-Bank Frankfurt;MHBFDEFFXXX
50330300;The Bank of New York Mellon;IRVTDEFXXXX
50330500;CHAABI BANK FRANKFURT;BCDMDEF1XXX
50330600;Sepahbank Frankfurt, Main;
50330700;TARGOBANK;VCBADEAFXXX
50334400;BNY Mellon NL FFM;BNYMDEF1XXX
50400000;BBk Zentrale Frankfurt Main;MARKDEFFXXX
50510111;SEB Offenbach Main;ESSEDE5F505
50510120;SEB TZN MB;ESSEDE5FXXX
50510121;SEB TZN MB;ESSEDE5FXXX
50510122;SEB TZN MB;ESSEDE5FXXX
50510123;SEB TZN MB;ESSEDE5FXXX
50510124;SEB TZN MB;ESSEDE5FXXX
50510125;SEB TZN MB;ESSEDE5FXXX
50510126;SEB TZN MB;ESSEDE5FXXX
50510127;SEB TZN MB;ESSEDE5FXXX
50510128;SEB TZN MB;ESSEDE5FXXX
50510129;SEB TZN MB;ESSEDE5FXXX
50510130;SEB TZN MB;ESSEDE5FXXX
50510131;SEB TZN MB;ESSEDE5FXXX
50510132;SEB TZN MB;ESSEDE5FXXX
50510133;SEB TZN MB;ESSEDE5FXXX
50510134;SEB TZN MB;ESSEDE5FXXX
50510135;SEB TZN MB;ESSEDE5FXXX
50510136;SEB TZN MB;ESSEDE5FXXX
50510137;SEB TZN MB;ESSEDE5FXXX
50510138;SEB TZN MB;ESSEDE5FXXX
50510139;SEB TZN MB;ESSEDE5FXXX
50510140;SEB TZN MB;ESSEDE5FXXX
50510141;SEB TZN MB;ESSEDE5FXXX
50510142;SEB TZN MB;ESSEDE5FXXX
50510143;SEB TZN MB;ESSEDE5FXXX
50510144;SEB TZN MB;ESSEDE5FXXX
50510145;SEB TZN MB;ESSEDE5FXXX
50510146;SEB TZN MB;ESSEDE5FXXX
50510147;SEB TZN MB;ESSEDE5FXXX
50510148;SEB TZN MB;ESSEDE5FXXX
50510149;SEB TZN MB;ESSEDE5FXXX
50510150;SEB TZN MB;ESSEDE5FXXX
50510151;SEB TZN MB;ESSEDE5FXXX
50510152;SEB TZN MB;ESSEDE5FXXX
50510153;SEB TZN MB;ESSEDE5FXXX
50510154;SEB TZN MB;ESSEDE5FXXX
50510155;SEB TZN MB;ESSEDE5FXXX
50510156;SEB TZN MB;ESSEDE5FXXX
50510157;SEB TZN MB;ESSEDE5FXXX
50510158;SEB TZN MB;ESSEDE5FXXX
50510159;SEB TZN MB;ESSEDE5FXXX
50510160;SEB TZN MB;ESSEDE5FXXX
50510161;SEB TZN MB;ESSEDE5FXXX
50510162;SEB TZN MB;ESSEDE5FXXX
50510163;SEB TZN MB;ESSEDE5FXXX
50510164;SEB TZN MB;ESSEDE5FXXX
50510165;SEB TZN MB;ESSEDE5FXXX
50510166;SEB TZN MB;ESSEDE5FXXX
50510167;SEB TZN MB;ESSEDE5FXXX
50510168;SEB TZN MB;ESSEDE5FXXX
50510169;SEB TZN MB;ESSEDE5FXXX
50510170;SEB TZN MB;ESSEDE5FXXX
50510171;SEB TZN MB;ESSEDE5FXXX
50510172;SEB TZN MB;ESSEDE5FXXX
50510173;SEB TZN MB;ESSEDE5FXXX
50510174;SEB TZN MB;ESSEDE5FXXX
50510175;SEB TZN MB;ESSEDE5FXXX
50510176;SEB TZN MB;ESSEDE5FXXX
50510177;SEB TZN MB;ESSEDE5FXXX
50510178;SEB TZN MB;ESSEDE5FXXX
50510179;SEB TZN MB;ESSEDE5FXXX
50510180;SEB TZN MB;ESSEDE5FXXX
50520190;UniCredit Bank-HypoVereinbk;HYVEDEMM467
50522222;FIDOR Bank Frankfurt;FDORDEF1XXX
50530000;Cronbank;GENODE51CRO
50540028;Commerzbank Offenbach Main;COBADEFFXXX
50550020;Städtische Spk Offenbach;HELADEF1OFF
50560102;Raiffbk Offenbach;GENODE51OF2
50561315;Ver VB Maingau;GENODE51OBH
50570018;Deutsche Bank Offenbach;DEUTDEFF505
50570024;Deutsche Bank PGK Offenbach;DEUTDEDB505
50580005;Commerzbank Offenbach;DRESDEFF505
50580085;Commerzbank ITGK1 Offenbc;DRESDEFFJ12
50590000;Offenbacher Volksbank -alt-;GENODE51OF1
50592200;VB Dreieich;GENODE51DRE
50640015;Commerzbank Hanau Main;COBADEFFXXX
50650023;SPARKASSE HANAU;HELADEF1HAN
50652124;Spk Langen-Seligenstadt;HELADEF1SLS
50661639;VR Bk Main-Kinzig-Büdingen;GENODEF1LSR
50661816;Volksbank Heldenbergen;GENODE51NIH
50662299;Raiffbk Bruchköbel -alt-;GENODEF1BKO
50662669;Frankfurter Volksbank;RBMFDEF1XXX
50663699;Raiffbk Rodenbach Hanau;GENODEF1RDB
50670009;Deutsche Bank Hanau Main;DEUTDEFF506
50670024;Deutsche Bank PGK Hanau;DEUTDEDB506
50680002;Commerzbank Hanau Main;DRESDEFF506
50680085;Commerzbank ITGK1 Hanau;DRESDEFFJ13
50690000;Frankfurter Volksbank;GENODEF1HUV
50691300;DZB BANK Mainhausen;DZBMDEF1XXX
50692100;Volksbank Seligenstadt;GENODE51SEL
50740048;Commerzbank GH F-G48;COBADEFFXXX
50750094;Kreissparkasse Gelnhausen;HELADEF1GEL
50761333;Volksbank Büdingen -alt-;GENODE51BUE
50761613;VB Büdingen -alt-;GENODE51NID
50763319;Raiffbk Vogelsberg Birstein;GENODEF1BIR
50780006;Commerzbank Gelnhausen;DRESDEFF524
50790000;VR Bank Bad Orb-Gelnhausen;GENODE51GEL
50793300;Birsteiner Volksbank -alt-;GENODE51BIV
50794300;VR Bank Wächtersbach -alt-;GENODE51WBH
50810900;DBS Badenia eh. DBS Bauspar;BBSPDE6KXXX
50820292;UniCredit Bank-HypoVereinbk;HYVEDEMM487
50835800;MCE Bank Flörsheim;MKGMDE51XXX
50840005;Commerzbank Darmstadt;COBADEFFXXX
50850049;LdBk Hess-Thür Gz Darmstadt;HELADEFF508
50850150;St u Kr Spk Darmstadt;HELADEF1DAS
50851952;Spk Odenwaldkreis Erbach;HELADEF1ERB
50852553;Kr Spk Groß-Gerau;HELADEF1GRG
50852651;Sparkasse Dieburg;HELADEF1DIE
50861393;SpDK Zell -alt-;GENODE51BKZ
50861501;Raiffbk Nördliche Bergstr;GENODE51ABH
50862311;VB Gräfenhausen -alt-;GENODE51WGH
50862408;Ver VB Griesh-Weiterst -alt;GENODE51GRI
50862703;VB Gersprenztal-Otzberg;GENODE51REI
50862835;Raiffeisenbank Schaafheim;GENODE51SHM
50862903;Volksbank Mainspitze;GENODE51GIN
50863513;Volksbank Odenwald;GENODE51MIC
50863906;Volksbank Modautal Modau;GENODE51ORM
50864322;Volksbank Modau;GENODE51ORA
50864808;VB Seeheim-Jugenheim -alt-;GENODE51SJ2
50865224;Volksbank Mörfelden-Walldf;GENODE51MWA
50865503;VB Eppertshausen;GENODE51EPT
50870005;Deutsche Bank Darmstadt;DEUTDEFF508
50870024;Deutsche Bank PGK Darmstadt;DEUTDEDB508
50880050;Commerzbank Darmstadt;DRESDEFF508
50880085;Commerzbank ITGK1 Darmstd;DRESDEFFJ14
50880086;Commerzbank ITGK2 Darmstd;DRESDEFFJ15
50890000;VB Darmstadt - Südhessen;GENODEF1VBD
50890634;apoBank Darmstadt;DAAEDED1034
50892500;Groß-Gerauer Volksbank -alt;GENODE51GG1
50950068;Sparkasse Bensheim;HELADEF1BEN
50951469;Sparkasse Starkenburg;HELADEF1HEP
50961206;Raiffeisenbank Bürstadt;GENODE51RBU
50961312;Raiffbk Groß-Rohrheim;GENODE51GRM
50961592;Volksbank Weschnitztal;GENODE51FHO
50961685;Volksbank Überwald-Gorxheim;GENODE51ABT
50970004;Deutsche Bank Bensheim;DEUTDEFF509
50970024;Deutsche Bank PGK Bensheim;DEUTDEDB509
51010111;SEB Wiesbaden;ESSEDE5F510
51010400;Aareal Bank;AARBDE5WXXX
51010800;Aareal Bank Zw L Wiesbaden;AARBDE5W108
51020000;BHF-BANK Wiesbaden;BHFBDEFF510
51020186;UniCredit Bank-HypoVereinbk;HYVEDEMM478
51040038;Commerzbank Wiesbaden;COBADEFFXXX
51050015;Nass Spk Wiesbaden;NASSDE55XXX
51051000;S Broker Wiesbaden;PULSDE5WXXX
51070021;Deutsche Bank Wiesbaden;DEUTDEFF510
51070024;Deutsche Bank PGK Wiesbaden;DEUTDEDB510
51080060;Commerzbank Wiesbaden;DRESDEFF510
51080085;Commerzbank ITGK1 Wiesbdn;DRESDEFFJ16
51080086;Commerzbank ITGK2 Wiesbdn;DRESDEFFJ17
51089410;Commerzbank Wiesbad. ITGK;DRESDEFFI20
51090000;Wiesbadener Volksbank;WIBADE5WXXX
51090636;apoBank Wiesbaden;DAAEDED1036
51091400;Volksbank Eltville -alt-;GENODE51ELV
51091500;Rheingauer Volksbank;GENODE51RGG
51091700;vr bank Untertaunus;VRBUDE51XXX
51091711;Bk f Orden u Mission Idstn;BFOMDE51XXX
51140029;Commerzbank Limburg Lahn;COBADEFFXXX
51150018;Kr Spk Limburg;HELADEF1LIM
51151919;Kr Spk Weilburg;HELADEF1WEI
51161606;Volksbank Langendernbach;GENODE51LDD
51170010;Deutsche Bank Limburg Lahn;DEUTDEFF511
51170024;Deutsche Bank PGK Limburg;DEUTDEDB511
51180041;Commerzbank Limburg Lahn;DRESDEFF511
51190000;Ver Volksbank Limburg;GENODE51LIM
51191200;Volksbank Goldner Grund;GENODE51CAM
51191800;Volksbank Schupbach;GENODE51SBH
51192200;VuR-Bank Weilmünster -alt-;GENODE51WEM
51210600;BNP PARIBAS Ndl Deutschland;BNPADEFFXXX
51210699;BNP PARIBAS Ndl Deutschland;BNPADEFFXXX
51210700;NIBC Bank Frankfurt am Main;NZFMDEF1XXX
51210800;SOGEBANK Frankfurt Main;SOGEDEFFXXX
51211000;NATIXIS Pfandbriefbank Ffm;NATXDEFPXXX
51220200;SEB Merchant Banking Ffm;ESSEDEFFXXX
51220211;SEB Ffm SAP;ESSEDE5F512
51220400;Bank Saderat Iran Frankfurt;
51220700;ZIRAAT BANK;TCZBDEFFXXX
51220800;Banco do Brasil Frankfurt;BRASDEFFXXX
51220900;Morgan Stanley Bank;MSFFDEFPXXX
51220910;Morgan Stanley Bank;MSFFDEFXCND
51230400;RBS Deutschland FFM;ABNADE55FRA
51230500;Standard Chartered Bank Ffm;SCBLDEFXXXX
51230502;ETC SCB Germany Branch;SCBLDEF1ETC
51230555;Ikano Wiesbaden;PLFGDE5AIKB
51230600;Europe ARAB Bank Frankfurt;ARABDEFFXXX
51230800;Wirecard Bank;WIREDEMMXXX
51230801;Wirecard Bank;
51230802;Wirecard Bank;
51230805;Wirecard Bank;
51250000;Taunus-Sparkasse Bad Hombg;HELADEF1TSK
51300000;BBk Frankfurt eh Gießen;MARKDEF1513
51310111;SEB Gießen;ESSEDE5F513
51340013;Commerzbank Gießen;COBADEFFXXX
51343224;Commerzbank Alsfeld;COBADEFFXXX
51350025;Sparkasse Gießen;SKGIDE5FXXX
51351526;Sparkasse Grünberg;HELADEF1GRU
51352227;Sparkasse Laubach-Hungen;HELADEF1LAU
51361021;Volksbank Heuchelheim;GENODE51HHE
51370008;Deutsche Bank Gießen;DEUTDEFF513
51370024;Deutsche Bank PGK Gießen;DEUTDEDB513
51380040;Commerzbank Gießen;DRESDEFF513
51380085;Commerzbank ITGK1 Gießen;DRESDEFFJ18
51390000;VB Mittelhessen;VBMHDE5FXXX
51410111;SEB Frankfurt am Main;ESSEDE5F514
51410600;Merrill Lynch Intl Bank FFM;MELBDEF1XXX
51410700;Bank of China Frankfurt;BKCHDEFFXXX
51410800;OnVista Bank Frankfurt/Main;BOURDEFFXXX
51420200;Misr Bank-Europe Ffm;MIBEDEFFXXX
51420300;Bank Julius Bär Frankfurt;BAERDEF1XXX
51420600;Svenska Handelsbanken;HANDDEFFXXX
51430300;Nordea Bank, Frankfurt;NDEADEFFXXX
51430321;Nordea Bank Frankfurt;NDEADEFF321
51430400;Goldman Sachs Frankfurt;GOLDDEFFXXX
51540037;Commerzbank Wetzlar;COBADEFFXXX
51550035;Sparkasse Wetzlar;HELADEF1WET
51560231;VB Wetzlar-Weilburg -alt-;GENODE51WZ1
51570008;Deutsche Bank Wetzlar;DEUTDEFF515
51570024;Deutsche Bank PGK Wetzlar;DEUTDEDB515
51580044;Commerzbank Wetzlar;DRESDEFF515
51591300;Volksbank Brandoberndorf;GENODE51WBO
51640043;Commerzbank Dillenburg;COBADEFFXXX
51650045;Spk Dillenburg;HELADEF1DIL
51690000;Volksbank Dill VB u Raiffbk;GENODE51DIL
51691500;Volksbank Herborn-Eschenbg;GENODE51HER
51752267;Sparkasse Battenberg;HELADEF1BAT
51762434;VR Bank Biedenk-Gladenb;GENODE51BIK
51850079;Spk Oberhessen;HELADEF1FRI
51861325;BVB Volksbank;GENODEF1BVB
51861403;Volksbank Butzbach;GENODE51BUT
51861616;LdBk Horlofftal Reichelshei;GENODE51REW
51861806;Volksbank Ober-Mörlen;GENODE51OBM
51961023;Volksbank Ulrichstein;GENODE51ULR
51961515;Spar-u Darlehnskasse;GENODE51HSH
51961801;Volksbank Feldatal;GENODE51FEL
51990000;Volksbank Lauterbach-Schl;GENODE51LB1
52010111;SEB Kassel;ESSEDE5F520
52040021;Commerzbank Kassel;COBADEFFXXX
52050000;Landeskreditkasse Kassel;HELADEFF520
52050353;Kasseler Sparkasse;HELADEF1KAS
52051373;St Spk Borken;HELADEF1BOR
52051555;St Spk Felsberg;HELADEF1FEL
52051877;St Spk Grebenstein;HELADEF1GRE
52052154;Kreissparkasse Schwalm-Eder;HELADEF1MEG
52053458;St Spk Schwalmstadt;HELADEF1SWA
52060000;DZ BANK;GENODEFF520
52060208;Kurhessische Landbk Kassel;GENODEF1KS2
52060400;Evangelische Bank Gf Kassel;EKKBDE52XXX
52060410;Evangelische Bank Kassel;GENODEF1EK1
52061303;Raiffbk Borken;GENODEF1BOR
52062200;VR-Bank Chattengau;GENODEF1GUB
52062601;VR-Bank Schwalm-Eder;GENODEF1HRV
52063369;VR-Bank Spangenbg-Morschen;GENODEF1SPB
52063550;Raiffbk;GENODEF1WOH
52064156;Raiffeisenbank Baunatal;GENODEF1BTA
52065220;Raiffeisenbank Calden;GENODEF1CAL
52069013;Raiffeisenbank Burghaun;GENODEF1BHN
52069029;Spar-u Kredit-Bank Gemünden;GENODEF1GMD
52069065;Raiffbk Langenschw. Burghau;GENODEF1BUR
52069103;Raiffbk Trendelburg -alt-;GENODEF1TBG
52069149;Raiffbk Volkmarsen;GENODEF1VLM
52069519;Frankenberger Bank;GENODEF1FBK
52070012;Deutsche Bank Kassel;DEUTDEFF520
52070024;Deutsche Bank PGK Kassel;DEUTDEDB520
52071212;Deutsche Bank Bad Wildungen;DEUTDEFF521
52071224;Deutsche Bank PGK Bad Wildu;DEUTDEDB521
52080080;Commerzbank Kassel;DRESDEFF520
52080085;Commerzbank ITGK1 Kassel;DRESDEFFJ19
52090000;Kasseler Bank;GENODE51KS1
52090611;apoBank Kassel;DAAEDED1011
52240006;Commerzbank Eschwege;COBADEFFXXX
52250030;Sparkasse Werra-Meißner;HELADEF1ESW
52260385;VR-Bank Werra-Meißner;GENODEF1ESW
52270012;Deutsche Bank Eschwege;DEUTDEFF522
52270024;Deutsche Bank PGK Eschwege;DEUTDEDB522
52350005;Spk Waldeck-Frankenberg;HELADEF1KOR
52360059;Waldecker Bank Korbach;GENODEF1KBW
52410300;ReiseBank Frankfurt am Main;RBAGDEF1XXX
52410310;ReiseBank Gf2 Frankfurt;RBAGDEF1CMI
52410400;KEB -Deutschland- Ffm;KOEXDEFAXXX
52410900;Maple Bank Frankfurt;MPBKDEFFXXX
52411000;Cash Express Frankfurt;CAGBDEF1XXX
